reference,doi,title,year,type,journal,authors
hal-02610319,10.4000/developpementdurable.17272,Écologisation des pratiques et territorialisation des activités : une introduction,2020,Article,Développement durable et territoires,Ludovic Ginelli; Jacqueline Candau; Sabine Girard; Marie M. Houdart; Valérie Deldrève
hal-02610551,10.1016/j.ifacol.2020.12.2448,Thermal Monitoring of Buildings by Aggregated Temperature Estimation,2020,Communication,,Muhammad Umar B. Niazi; Carlos Canudas de Wit; Alain Kibangou
hal-02133929,10.1038/s41598-019-40022-w,High-resolution record reveals climate-driven environmental and sedimentary changes in an active rift,2019,Article,Scientific Reports,Lisa Mcneill; Donna Shillington; Gareth Carter; Jeremy Everest; Robert Gawthorpe; Clint Miller et al.
hal-02138682,10.1017/jfm.2020.405,Tensorial rheological model for concentrated non-colloidal suspensions: normal-stress differences,2020,Article,Journal of Fluid Mechanics Digital Archive,Olivier Ozenda; Pierre Saramito; Guillaume Chambon
inserm-02611712,10.1016/j.bbalip.2020.158715,Expression of the type 1 lysophosphatidic acid receptor in osteoblastic cell lineage controls both bone mineralization and osteocyte specification.,2020,Article,Biochimica et Biophysica Acta Molecular and Cell Biology of Lipids,Candide A Alioli; Léa Demesmay; Sara Laurencin-Dalacieux; Nicolas Beton; Delphine Farlay; Hélène Follet et al.
hal-02611713,10.1103/physrevb.101.184401,Very large Dzyaloshinskii-Moriya interaction in two-dimensional Janus manganese dichalcogenides and its application to realize skyrmion states,2020,Article,Physical Review B: Condensed Matter and Materials Physics (1998-2015),Jinghua Liang; Weiwei Wang; Haifeng Du; Ali Hallal; Karin Garcia; Mairbek Chshiev et al.
hal-02611751,10.1016/j.tcs.2020.05.034,A Faster Cryptographer's Conspiracy Santa,2020,Article,Theoretical Computer Science,Xavier Bultel; Jannik Dreier; Jean-Guillaume Dumas; Pascal Lafourcade
hal-02611783,10.1016/j.arcontrol.2020.04.016,Model Predictive Control Design for Linear Parameter Varying Systems: A Survey,2020,Article,Annual Reviews in Control,Marcelo Menezes Morato; Julio E Normey-Rico; Olivier Sename
hal-02596419,10.1145/3391196,An overview of service placement problem in Fog and Edge Computing,2020,Article,ACM Computing Surveys,Farah Ait Salaht; Frédéric Desprez; Adrien Lebre
hal-02611926,10.24072/pci.ecology.100041,"Growth trajectories, better than organ-level functional traits, reveal intraspecific response to environmental variation",2020,Autre,Peer Community In Ecology,François Munoz
hal-02519495,10.1016/j.apgeog.2020.102221,Harmonized mapping of forests with a protection function against rockfalls over European Alpine countries,2020,Article,Applied Geography,S. Dupire; D. Toe; J.-B. Barré; Franck Bourrier; F. Berger
cea-02612066,10.1051/0004-6361/201936220,Calibration and performance of the NIKA2 camera at the IRAM 30-m Telescope,2020,Article,Astronomy & Astrophysics - A&A,L. Perotto; N. Ponthieu; J. F. Macías-Pérez; R. Adam; P. Ade; P. André et al.
hal-02562287,10.1063/5.0003886,High-temperature hypersonic Laval nozzle for non-LTE cavity ringdown spectroscopy,2020,Article,The Journal of Chemical Physics,Eszter Dudas; Nicolas Suas-David; Shuvayan Brahmachary; Vinayak Kulkarni; Abdessamad Benidar; Samir Kassi et al.
hal-02612400,10.1080/01402382.2020.1738096,Soft and hard law in times of crisis,2020,Article,West European Politics,Fabien Terpan; Sabine Saurugger
hal-02565715,10.1016/j.mycmed.2020.100971,Invasive fungal diseases during COVID-19: We should be prepared,2020,Article,Journal of Medical Mycology = Journal de Mycologie Médicale,J-P Gangneux; M-E Bougnoux; E Dannaoui; M Cornet; J R Zahar
tel-02612598,10.70675/bedef149za140z4965zabedz0d19b067c2bb,Study of new chemical derivatization techniques for lignin analysis by size exclusion chromatography,2020,Thèse / HDR,,Esakkiammal Sudha Esakkimuthu
tel-02612602,10.70675/950dbd7bzc091z460ez8921z8ef3cbefba65,Traitement nociceptif sous-cortical : Implications dans les douleurs Parkinsoniennes. Approche expérimentale chez le rat,2019,Thèse / HDR,,Arnaud Pautrat
hal-02612764,10.1016/j.econlet.2020.109198,Auctions vs. negotiations in vertically related markets,2020,Article,Economics Letters,Emanuele Bacchiega; Olivier Bonroy; Emmanuel Petrakis
tel-02612799,10.70675/79789734z3298z4b27z929dzef45f025e7b7,Modal acoustic velocimetry in a gas-filled rotating spheroid,2020,Thèse / HDR,,Sylvie Su
tel-02612823,10.70675/90843c51ze69ez453ez9512z01ba14cb0e7a,Effet de la contrainte normale électrique sur la forme d'une interface liquide-vapeur dans une rainure carrée : amélioration des performances hydrodynamiques d'un caloduc capillaire,2020,Thèse / HDR,,Nicolas Cardin
hal-02612914,10.1364/boe.388360,Measuring cell displacements in opaque tissues: dynamic light scattering in the multiple scattering regime,2020,Article,Biomedical optics express,Benjamin Brunel; Vincent Levy; Arnaud Millet; Monika Elzbieta Dolega; Antoine Delon; Romain Pierrat et al.
hal-02613069,10.1088/2053-1583/ab93e3,Magnetoelastic interaction in the two-dimensional magnetic material MnPS<sub>3</sub> studied by first principles calculations and Raman experiments,2020,Article,2D Materials,Diana Vaclavkova; Alex Delhomme; Clément Faugeras; Marek Potemski; Aleksander Bogucki; Jan Suffczynski et al.
hal-02497831,10.1103/physreve.101.052113,Topological thermalization via vortex formation in ultrafast quenches,2020,Article,Physical Review E,Marcos Tello-Fraile; Andrés Cano; Manuel Donaire
tel-02613304,10.70675/f70bb43aze86fz4383zbc96zecf2a8c13f48,Analysis of the integration of a Spatial Augmented Reality platform in a context of collaborative design involving end-users.,2020,Thèse / HDR,,Fatma Ben Guefrech
hal-02613320,10.1038/s42005-020-0356-9,Energetic footprints of irreversibility in the quantum regime,2020,Article,Communications Physics,M. Mohammady; Alexia Auffèves; J. Anders
tel-02612797,10.70675/4802cbddz73baz4f74zbfeezd562877acafa,Numerical study of 2D stratified turbulence forced by internal gravity waves,2020,Thèse / HDR,,Miguel Calpe Linares
tel-02613852,10.70675/089faa1ezc046z4dccza457z6a890e70446e,AlxGa1-xN and AlN nanowires : a solution for efficient UV-C light emitting diodes,2019,Thèse / HDR,,Alexandra-Madalina Siladie
hal-02613868,10.1111/1462-2920.14978,The zoospores of the thraustochytrid Aurantiochytrium limacinum : Transcriptional reprogramming and lipid metabolism associated to their specific functions,2020,Article,Environmental Microbiology,Younes Dellero; Cécile Maës; Christian Morabito; Martin Schuler; Caroline C. Bournaud; Riccardo Aiese Cigliano et al.
tel-02613873,10.70675/9f4c64f4za579z4d94zaf23zc1d4b8b1a058,Cavitation erosion monitoring by acoustic emission,2020,Thèse / HDR,,Markku Ylonen
hal-02614102,10.1016/j.pbi.2020.03.002,Contrasted evolutionary trajectories of plant transcription factors,2020,Article,Current Opinion in Plant Biology,Xuelei Lai; Hicham Chahtane; Raquel Martin-Arevalillo; Chloe Zubieta; François Parcy
hal-02614350,10.1140/epjc/s10052-020-08554-y,Search for heavy diboson resonances in semileptonic final states in pp collisions at $\sqrt{s}=13$ TeV with the ATLAS detector,2020,Article,Eur.Phys.J.C,Georges Aad; Brad Abbott; Dale Charles Abbott; Adam Abed Abud; Kira Abeling; Deshan Kavishka Abhayasinghe et al.
hal-02614355,10.1140/epjc/s10052-020-8102-8,Search for a scalar partner of the top quark in the all-hadronic $t{\bar{t}}$ plus missing transverse momentum final state at $\sqrt{s}=13$ TeV with the ATLAS detector,2020,Article,Eur.Phys.J.C,Georges Aad; Brad Abbott; Dale Charles Abbott; Adam Abed Abud; Kira Abeling; Deshan Kavishka Abhayasinghe et al.
hal-02614357,10.1007/s10909-020-02408-3,BULLKID: BULky and Low-Threshold Kinetic Inductance Detectors,2020,Communication,,I. Colantoni; C. Bellenghi; M. Calvo; R. Camattari; L. Cardani; N. Casali et al.
hal-02614359,10.1007/s10909-020-02371-z,LiteBIRD Cryogenic Chain: 100 mK Cooling with Mechanical Coolers and ADRs,2020,Communication,,Jean-Marc Duval; Thomas Prouvé; Peter Shirron; Keisuke Shinozaki; Yutaro Sekimoto; Takashi Hasebe et al.
cea-02614415,10.1051/0004-6361/202038008,Possible evidence of ongoing planet formation in AB Aurigae,2020,Article,Astronomy & Astrophysics - A&A,A. Boccaletti; E. Di Folco; E. Pantin; A. Dutrey; S. Guilloteau; Y. W. Tang et al.
hal-02499008,10.1016/j.icarus.2019.113606,Small-scale lobate hillslope features on Mars: A comparative 3D morphological study with terrestrial solifluction lobes and zebra stripe lobes,2020,Article,Icarus,Renaldo Gastineau; Susan J. Conway; Andreas Johnsson; Jana Eichel; Nicolas Mangold; Peter M Grindrod et al.
hal-02615276,10.1007/978-3-030-43694-0_14,Overlapping Jurisdictions and Demand for Local Public Services: Does Spatial Heterogeneity Matter?,2020,Chapitre d'ouvrage,,Marie-Estelle Binet; Alain Guengant; Matthieu Leprince
hal-02616134,10.1103/physrevlett.125.267204,Independence of the inverse spin Hall effect with the magnetic phase in thin NiCu films,2020,Article,Physical Review Letters,Sara Varotto; Maxen Cosset-Cheneau; Cécile Grezes; Yu Fu; Patrick Warin; Ariel Brenac et al.
halshs-02616448,10.1080/02697459.2020.1745424,Defining the Creole City by Walking: The Case of La Réunion,2020,Article,Planning Practice and Research,Jean-Christophe Dissart; Maëlle Nicault
hal-02616978,10.1021/jacs.0c03496,Pyclen-Based Ln(III) Complexes as Highly Luminescent Bioprobes for In Vitro and In Vivo One- and Two-Photon Bioimaging Applications,2020,Article,Journal of the American Chemical Society,Nadège Hamon; Amandine Roux; Maryline Beyler; Jean-Christophe Mulatier; Chantal Andraud; Christophe Nguyen et al.
hal-02613783,10.1016/j.cag.2020.04.002,Contact Preserving Shape Transfer: retargeting motion from one shape to another,2020,Article,Computers and Graphics,Jean Basset; Stefanie Wuhrer; Edmond Boyer; Franck Multon
hal-02617142,10.1103/physrevlett.125.133901,The Photon Hall Pinwheel Radiation of Angular Momentum by a Diffusing Magneto-optical Medium,2020,Article,Physical Review Letters,B. van Tiggelen; Rikken G.L.J.A.
hal-02617735,10.1111/aos.14232,"Retinal vascular fractal dimension and cerebral blood flow, a pilot study",2020,Article,Acta Ophthalmologica Scandinavica -Supplement-,Jérémy Nadal; Jérémy Deverdun; Nicolas Menjot de Champfleur; Isabelle Carrière; Catherine Creuzot-Garcher; Cécile Delcourt et al.
hal-02617926,10.1111/geb.13098,Do's and don'ts when inferring assembly rules from diversity patterns,2020,Article,Global Ecology and Biogeography,Tamara Münkemüller; Laure Gallien; Laura Pollock; Ceres Barros; Marta Carboni; Loïc Chalmandrier et al.
hal-02618429,10.1142/9789811219238_0012,"From Knowledge Capture to Knowledge Integration, the Key Role of Integrative Actions in Crowdsourcing for Innovation",2020,Chapitre d'ouvrage,,Emilie Ruiz; Sébastien Brion; Guy Parmentier
hal-02619511,10.1176/appi.neuropsych.19010018,Apathy in Obsessive-Compulsive Disorder and Its Psychological Correlates: Comparison With Individuals With Schizophrenia,2020,Article,Journal of Neuropsychiatry and Clinical Neurosciences,Stephane Raffard; Delphine Capdevielle; Jérôme Attal; Caroline Novara; Catherine Bortolon
hal-02620196,10.5194/tc-14-147-2020,Impact of forcing on sublimation simulations for a high mountain catchment in the semiarid Andes,2020,Article,The Cryosphere,Marion Réveillet; Shelley Macdonell; Simon Gascoin; Christophe Kinnard; Stef Lhermitte; Nicole Schaffer
hal-02624312,10.1038/s41567-020-0792-1,Gapless ground state in the archetypal quantum kagome antiferromagnet ZnCu3(OH)6Cl2,2020,Article,Nature Physics,P. Khuntia; Matias Velázquez; Quentin Barthélemy; Fabrice Bert; Edwin Kermarrec; A. Legros et al.
hal-02624947,10.3390/f11020144,A Comparison of the Formation Rates and Composition of Tree-Related Microhabitats in Beech-Dominated Primeval Carpathian and Hyrcanian Forests,2020,Article,Forests,Razieh Rafiei Jahed; Mohammad Reza Kavousi; Mohammad Ebrahim Farashiani; Khosro Sagheb-Talebi; Manoochehr Babanezhad; Benoît Courbaud et al.
pasteur-02626815,10.1016/j.tim.2020.01.005,The evolution of protein secretion systems by co-option and tinkering of cellular machineries,2020,Article,Trends in Microbiology,Rémi Denise; Sophie S. Abby; Eduardo Rocha
hal-02626883,10.1364/josaa.387823,Aperiodic differential method associated with FFF: an efficient electromagnetic computational tool for integrated optical waveguides modelization,2020,Article,"Journal of the Optical Society of America. A Optics, Image Science, and Vision",Habib Mohamad; Sylvain Blaize; Alain Morand; Pierre Benech
hal-02315602,10.1111/nph.16245,A LysM effector subverts chitin‐triggered immunity to facilitate arbuscular mycorrhizal symbiosis,2020,Article,New Phytologist,Tian Zeng; Luis Rodriguez‐moreno; Artem Mansurkhodzaev; Peng Wang; Willy van den Berg; Virginie Gasciolli et al.
hal-02628026,10.31526/lhep.2020.158,SModelS Database Update v1.2.3,2020,Article,LHEP,Charanjit K. Khosa; Sabine Kraml; Andre Lessa; Philipp Neuhuber; Wolfgang Waltenberger
hal-02628033,10.1103/physrevlett.125.131801,Dijet resonance search with weak supervision using $\sqrt{s}=13$ TeV $pp$ collisions in the ATLAS detector,2020,Article,Phys.Rev.Lett.,Georges Aad; Brad Abbott; Dale Charles Abbott; Adam Abed Abud; Kira Abeling; Deshan Kavishka Abhayasinghe et al.
hal-02628102,10.1088/1748-0221/15/11/p11016,Performance of the upgraded PreProcessor of the ATLAS Level-1 Calorimeter Trigger,2020,Article,JINST,Georges Aad; Brad Abbott; Dale Charles Abbott; Adam Abed Abud; Kira Abeling; Deshan Kavishka Abhayasinghe et al.
hal-02628128,10.1007/jhep10(2020)061,Search for $ t\overline{t} $ resonances in fully hadronic final states in $pp$ collisions at $ \sqrt{s} $ = 13 TeV with the ATLAS detector,2020,Article,JHEP,Georges Aad; Brad Abbott; Dale Charles Abbott; Adam Abed Abud; Kira Abeling; Deshan Kavishka Abhayasinghe et al.
hal-02628176,10.1007/jhep08(2020)051,Combination of the W boson polarization measurements in top quark decays using ATLAS and CMS data at $\sqrt{s} =$ 8 TeV,2020,Article,JHEP,Georges Aad; Brad Abbott; Dale Charles Abbott; Adam Abed Abud; Kira Abeling; Deshan Kavishka Abhayasinghe et al.
tel-02628521,10.70675/d3d0ad03zab17z4282z90ffz8045ee40315f,"Anisotropic PCL electrospun scaffolds for soft tissue engineering : Elaboration, morphological and mechanical properties",2020,Thèse / HDR,,Hugues Mondésert
hal-02628861,10.1140/epjc/s10052-020-8158-5,A pure general relativistic non-singular bouncing origin for the Universe,2020,Article,European Physical Journal C: Particles and Fields,Aurélien Barrau
cea-02569258,10.1002/hyp.13768,Quantification of sediment source contributions in two paired catchments of the Brazilian Pampa using conventional and alternative fingerprinting approaches,2020,Article,Hydrological Processes,Mirian Lago Valente; José Miguel Reichert; Cédric Legout; Tales Tiecher; Rosane Barbosa Lopes Cavalcante; O. Evrard
tel-02632800,10.70675/0701cb00z202cz413dz8027zdeaf59115a0d,Description linguistique et évaluation des capacités orthographiques d'adultes en difficulté avec l'écrit.,2020,Thèse / HDR,,Carole Blondel
hal-02632921,10.1039/c9en01329f,The longer the worse: a combined proteomic and targeted study of the long-term versus short-term effects of silver nanoparticles on macrophages,2020,Article,Environmental science‎.Nano,Bastien Dalzon; Catherine Aude-Garcia; Hélène Diemer; Joanna Bons; Caroline Marie-Desvergne; Julien Pérard et al.
hal-02634668,10.1103/physrevresearch.2.023098,Time-reversal symmetry breaking Abelian chiral spin liquid in Mott phases of three-component fermions on the triangular lattice,2020,Article,Phys.Rev.Res.,C. Boos; C.J. Ganahl; M. Lajkó; P. Nataf; A.M. Läuchli; K. Penc et al.
inserm-02634812,10.1038/s41467-020-16103-0,Evolutionary conserved NSL complex/BRD4 axis controls transcription activation via histone acetylation,2020,Article,Nature Communications,Aline Gaub; Bilal N Sheikh; M Felicia Basilicata; Marie Vincent; Mathilde Nizon; Cindy Colson et al.
halshs-02615294,10.4000/fcs.4961,La régulation dynamique des dispositifs et des situations de gestion des connaissances au coeur de l’innovation des firmes multinationales,2020,Article,Finance Contrôle Stratégie,Virginie Jacquier-Roux; Hiroatsu Nohara; Claude Paraponaris
hal-02639237,10.1371/journal.pone.0232078,Bias in presence-only niche models related to sampling effort and species niches: Lessons for background point selection,2020,Article,PLoS ONE,Christophe Botella; Alexis Joly; Pascal Monestiez; Pierre Bonnet; François Munoz
hal-02639373,10.1007/978-3-030-74993-4_11,Analysing European Defence with Elias’s Historical Sociology (1990–2020),2021,Chapitre d'ouvrage,,Delphine Deschaux-Beaume Deschaux-Dutard
hal-02640318,10.1149/1945-7111/ab8f57,Assessing the Oxidation Behavior of EC:DMC Based Electrolyte on Non- Catalytically Active Surface,2020,Article,Journal of The Electrochemical Society,Iban Azcarate; Wei Yin; Christophe Méthivier; François Ribot; Christel Laberty-Robert; Alexis Grimaud
hal-02511269,10.1016/j.jsv.2020.115337,Acoustic modeling of fricative /s/ for an oral tract with rectangular cross-sections,2020,Article,Journal of Sound and Vibration,T. Yoshinaga; Annemie van Hirtum; Kazunori Nozaki; S. Wada
hal-02415110,10.1016/j.jfluidstructs.2019.102840,Influence of water spraying on an oscillating channel,2020,Article,Journal of Fluids and Structures,Anne Bouvet; Xavier Pelorson; Annemie van Hirtum
hal-02484300,10.1121/10.0000742,Influence of level difference due to vocal folds angular asymmetry on auto-oscillating replicas,2020,Article,Journal of the Acoustical Society of America,Anne Bouvet; Isao Tokuda; Xavier Pelorson; Annemie van Hirtum
hal-02642369,10.1158/0008-5472.can-19-3584,ERRα expression in bone metastases leads to an exacerbated anti-tumor immune response,2020,Article,Cancer Research,Mathilde Bouchet; Alexandra Lainé; Cyril Boyault; Mathilde Proponnet-Guerault; Emmanuelle Meugnier; Lamia Bouazza et al.
cea-02644105,10.1051/0004-6361/201936364,Angular momentum profiles of Class 0 protostellar envelopes,2020,Article,Astronomy & Astrophysics - A&A,Mathilde Gaudel; Anaëlle Maury; Arnaud Belloche; Sébastien Maret; Philippe André; Patrick Hennebelle et al.
hal-02650191,10.3934/dcdss.2020183,"Gevrey solutions of singularly perturbed differential equations, an extension to the non-autonomous case",2020,Article,Discrete and Continuous Dynamical Systems - Series S,Lucile Mégret; Jacques Demongeot
hal-02650296,10.1007/s10884-020-09897-6,Asymptotic self-similarity in diffusion equations with nonconstant radial limits at infinity,2022,Article,Journal of Dynamics and Differential Equations,Thierry Gallay; Romain Joly; Geneviève Raugel
hal-02314834,10.4171/rsmup/107,On Siegel's problem for E-functions,2022,Article,Rendiconti del Seminario Matematico della Università di Padova,Stéphane Fischler; Tanguy Rivoal
hal-02650642,10.1016/j.jobe.2019.101164,Local energy self-sufficiency for passive buildings: Case study of a typical Moroccan building,2020,Article,Journal of Building Engineering,B. Chegari; Mohamed Tabaa; Fouad Moutaouakkil; Emmanuel Simeu; Hicham Medromi
hal-02651230,10.1038/s41467-020-16368-5,Human ESCRT-III polymers assemble on positively curved membranes and induce helical membrane tube formation,2020,Article,Nature Communications,Aurélie Bertin; Nicola de Franceschi; Eugenio de La Mora; Sourav Maiti; Maryam Alqabandi; Nolwenn Miguet et al.
inserm-02651683,10.1038/s41467-020-16038-6,A RUNX2 stabilization pathway mediates physiologic and pathologic bone formation,2020,Article,Nature Communications,Jung-Min Kim; Yeon-Suk Yang; Kwang Hwan Park; Xianpeng Ge; Ren Xu; Na Li et al.
halshs-02652512,10.3917/rsr.202.0325,Bulletin d'histoire moderne,2020,Article,Recherches de science religieuse,Yves Krumenacker
hal-02655311,10.1103/physrevresearch.2.012065,Magnetic-Field-Induced Transition in a Quantum Dot Coupled to a Superconductor,2020,Article,Physical Review Research,A. García Corral; D. van Zanten; K. J Franke; H. Courtois; Serge Florens; Clemens Winkelmann
hal-02655347,10.1016/j.jmmm.2020.166625,Probing magnetism of individual nano-structures using Nb μ -SQUIDs in hysteresis free mode,2020,Article,Journal of Magnetism and Magnetic Materials,Sagar Paul; Ganesh Kotagiri; Rini Ganguly; Harsh Parashari; Hervé Courtois; Clemens Winkelmann et al.
hal-02718859,10.1016/j.jpowsour.2020.228287,Operando investigation of the lithium/sulfur battery system by coupled X-ray absorption tomography and X-ray diffraction computed tomography,2020,Article,Journal of Power Sources,Guillaume Tonin; Gavin B.M. Vaughan; Renaud Bouchet; Fannie Alloin; Marco Di Michiel; Céline Barchasz
hal-02732910,10.1103/physrevlett.124.165701,Equation of State of Liquid Iron under Extreme Conditions,2020,Article,Physical Review Letters,Yasuhiro Kuwayama; Guillaume Morard; Yoichi Nakajima; Kei Hirose; Alfred Q R Baron; Saori I Kawaguchi et al.
hal-02439524,10.15252/embj.2019102935,Rhomboid intramembrane protease YqgP licenses bacterial membrane protein quality control as adaptor of FtsH AAA protease,2020,Article,EMBO Journal,Jakub Began; Baptiste Cordier; Jana Březinová; Jordan Delisle; Rozálie Hexnerová; Pavel Srb et al.
hal-02732965,10.1016/j.ultsonch.2020.105370,Localization and quantification of radical production in cavitating flows with luminol chemiluminescent reactions,2021,Article,Ultrasonics Sonochemistry,Darjan Podbevšek; Damien Colombet; Frédéric Ayela; Gilles Ledoux
hal-02733004,10.1016/j.msea.2020.139592,Microstructural and mechanical investigation of the near fusion boundary region in thermally aged 18MND5 / Alloy 52 narrow-gap dissimilar metal weld,2020,Article,Materials Science and Engineering: A,A. Akhatova; F. Robaut; M. Verdier; M. Yescas; F. Roch; C. Tassin et al.
hal-02733225,10.3390/microorganisms8060820,"Mass Spectrometry-Based Characterization of the Virion Proteome, Phosphoproteome, and Associated Kinase Activity of Human Cytomegalovirus",2020,Article,Microorganisms,Yohann Couté; Alexandra Kraut; Christine Zimmermann; Nicole Büscher; Anne-Marie Hesse; Christophe Bruley et al.
hal-02734783,10.1007/s10798-020-09591-0,Format effects in the understanding of motion from kinematic diagrams in engineering education,2020,Article,International Journal of Technology and Design Education,Olga Kasatkina; Cédric Masclet; Jean-François Boujut; Erica de Vries
hal-02364900,10.1109/taslp.2020.3000593,Audio-Visual Speech Enhancement Using Conditional Variational Auto-Encoders,2020,Article,"IEEE/ACM Transactions on Audio, Speech and Language Processing",Mostafa Sadeghi; Simon Leglaive; Xavier Alameda-Pineda; Laurent Girin; Radu Horaud
hal-02739887,10.1016/j.physletb.2020.135754,A search for the $Z\gamma$ decay mode of the Higgs boson in $pp$ collisions at $\sqrt{s}$ = 13 TeV with the ATLAS detector,2020,Article,Phys.Lett.B,Georges Aad; Brad Abbott; Dale Charles Abbott; Adam Abed Abud; Kira Abeling; Deshan Kavishka Abhayasinghe et al.
hal-02154679,10.1112/blms.12396,Explicit degree bounds for right factors of linear differential operators,2021,Article,Bulletin of the London Mathematical Society,Alin Bostan; Tanguy Rivoal; Bruno Salvy
hal-02668606,10.1073/pnas.1920470117,In situ X-ray diffraction of silicate liquids and glasses under dynamic and static compression to megabar pressures,2020,Article,Proceedings of the National Academy of Sciences of the United States of America,Guillaume Morard; Jean-Alexis Hernandez; Marco Guarguaglini; Riccardo Bolis; Alessandra Benuzzi-Mounaix; Tommaso Vinci et al.
hal-02750344,10.1007/s00348-020-02970-2,Darrieus vertical-axis water turbines: deformation and force measurements on bioinspired highly flexible blade profiles,2020,Article,Experiments in Fluids,Stefan Hoerner; Cyrille Bonamy; Olivier Cleynen; Thierry Maître; Dominique Thévenin
hal-02766493,10.1021/acs.jctc.9b01235,Robust Analytic-Continuation Approach to Many-Body GW Calculations,2020,Article,Journal of Chemical Theory and Computation,Ivan Duchemin; Xavier Blase
hal-02773006,10.3390/cells9020474,RNA-Guided Genomic Localization of H2A.L.2 Histone Variant,2020,Article,Cells,Naghmeh Hoghoughi; Sophie Barral; Sandrine Curtet; Florent Chuffart; Guillaume Charbonnier; Denis Puthier et al.
hal-02775951,10.1021/jacs.0c02243,"Structural insights into the mechanism of the radical SAM carbide synthase NifB, a key nitrogenase cofactor maturating enzyme",2020,Article,Journal of the American Chemical Society,Ana Sosa Fajardo; Pierre Legrand; Lucía Payá-Tormo; Lydie Martin; Maria Teresa Pellicer Martinez; Carlos Echavarri-Erasun et al.
hal-02793187,10.1109/cdc42340.2020.9303844,H$_\infty$ observer design for singular nonlinear parameter-varying system,2020,Communication,,Manh-Hung Do; Damien Koenig; Didier Theilliol
hal-02794533,10.1093/eurrag/jbz051,Assessing the long-term impact of agricultural research on productivity: Evidence from France,2020,Article,European Review of Agricultural Economics,Stephane Lemarié; Valérie Orozco; Jean-Pierre Butault; Antonio Musolesi; Michel Simioni; Bertrand Schmitt
hal-02794862,10.1016/j.jcomdis.2020.105996,Development of fricative production in French-speaking school-aged children using cochlear implants and children with normal hearing,2020,Article,Journal of Communication Disorders,Bénédicte Grandon; Anne Vilain
hal-02795056,10.1007/978-3-030-67661-2_34,Graph Diffusion Wasserstein Distances,2020,Communication,,Amélie Barbe; Marc Sebban; Paulo Gonçalves; Pierre Borgnat; Rémi Gribonval
hal-02796981,10.1007/978-3-319-75388-1_122-1,"Past, present and future of the food and drink final market",2020,Chapitre d'ouvrage,,Bernard Ruffieux
hal-02797057,10.5194/hess-24-2545-2020,Snow processes in mountain forests: interception modeling for coarse-scale applications,2020,Article,Hydrology and Earth System Sciences,Nora Helbig; David Moeser; Michaela Teich; Laure Vincent; Yves Lejeune; Jean-Emmanuel Sicart et al.
hal-02804289,10.1109/tcsii.2020.2997691,Fully Parallel Circular-Shift Rotation Network for Communication Standards,2020,Article,IEEE Transactions on Circuits and Systems II: Express Briefs,Hassan Harb; Cyrille Chavet
hal-02816216,10.1016/j.tcs.2020.03.008,Local approximation of the Maximum Cut in regular graphs,2020,Article,Theoretical Computer Science,Étienne Bamas; Louis Esperet
hal-02816498,10.4000/rsh.839,De « l’écriture en traduction » à « l’écriture-de-traduction » : Pour une lecture traductologique d’Emmanuel Hocquard,2020,Article,Revue des Sciences Humaines,Aurélien Talbot
hal-02818154,10.4000/rsa.3691,"Rythmes et ancrages sociaux des carrières musicales ""ordinaires"" : Le cas de la Suisse romande",2020,Article,Recherches sociologiques et anthropologiques,Pierre Bataille; Robin Casse; Marc Perrenoud
hal-02493682,10.1007/s00039-020-00539-z,Branching geodesics in sub-Riemannian geometry,2020,Article,Geometric And Functional Analysis,Thomas Mietton; Luca Rizzi
hal-02859935,10.1007/s13243-020-00083-x,Characterization of circular strategies to better design circular industrial systems,2020,Article,Journal of Remanufacturing,Tom Bauer; Peggy Zwolinski; Nabil Nasr; Guillaume Mandil
hal-02524433,10.5194/tc-14-855-2020,CMIP5 model selection for ISMIP6 ice sheet model forcing: Greenland and Antarctica,2020,Article,The Cryosphere,Alice Barthel; Cécile Agosta; Christopher Little; Tore Hattermann; Nicolas Jourdain; Heiko Goelzer et al.
hal-02860006,10.1016/j.ccr.2020.213370,Structural basis for the catalytic activities of the multifunctional enzyme quinolinate synthase,2020,Article,Coordination Chemistry Reviews,Anne Volbeda; Juan-Carlos Fontecilla-Camps
hal-02860240,10.14758/set-revue.2020.3.12,La télédétection aéroportée pour la gestion des territoires forestiers de montagne,2020,Article,Sciences Eaux & Territoires,Jean-Matthieu Monnet; Pierre Paccard; Catherine Riond
hal-02513273,10.1016/j.ifacol.2020.12.1555,Equilibrium Manifolds in 2D Fluid Traffic Models,2020,Communication,,Liudmila Tumash; Carlos Canudas de Wit; Maria Laura Delle Monache
hal-02860262,10.1093/cercor/bhaa017,Human Anterior Insula Encodes Performance Feedback and Relays Prediction Error to the Medial Prefrontal Cortex,2020,Article,Cerebral Cortex,Pablo Billeke; Tomas Ossandon; Marcela Perrone-Bertolotti; Philippe Kahane; Julien Bastin; Karim Jerbi et al.
hal-02860267,10.3171/2020.2.jns192751,Relationship between direct cortical stimulation and induced high-frequency activity for language mapping during SEEG recording,2020,Article,Journal of Neurosurgery,Pauline Cuisenier; Bénédicte Testud; Lorella Minotti; Samuel El Bouzaïdi Tiali; Laurence Martineau; Anne-Sophie Job et al.
hal-02860412,10.1007/s00373-020-02228-y,Ear-Slicing for Matchings in Hypergraphs,2020,Article,Graphs and Combinatorics,András Sebő
